Frame,FPS,RenderTimeMs
0,12,84
1,12,84
2,12,83
3,11,87
4,11,87
5,11,88
6,11,94
7,11,93
8,11,93
9,10,98
10,11,88
11,11,92
12,10,102
13,8,118
14,10,98
15,11,89
16,11,91
17,11,90
18,11,90
19,10,102
20,10,97
21,11,94
22,11,92
23,10,101
24,10,104
25,9,107
26,10,104
27,9,109
28,9,110
29,9,107
30,10,104
31,10,103
32,10,99
33,10,101
34,9,106
35,10,102
36,10,96
37,11,93
38,11,95
39,11,90
40,11,93
41,11,95
42,10,98
43,10,100
44,11,94
45,10,99
46,10,97
47,11,94
48,10,96
49,11,93
50,10,104
51,10,97
52,11,93
53,11,92
54,10,95
55,10,97
56,9,110
57,9,114
58,9,110
59,9,107
60,9,108
61,10,97
62,10,100
63,10,96
64,10,99
65,9,114
66,10,100
67,10,97
68,10,96
69,10,98
70,9,107
71,10,100
72,10,105
73,9,116
74,9,108
75,9,110
76,9,117
77,10,103
78,10,104
79,9,111
80,9,106
81,10,103
82,10,99
83,10,99
84,10,103
85,10,104
86,10,103
87,11,89
88,11,93
89,11,95
90,10,96
91,11,89
92,11,89
93,11,95
94,11,90
95,11,89
96,11,90
97,10,98
98,11,94
99,11,92
100,11,93
101,11,95
102,11,93
103,11,92
104,12,86
105,11,93
106,11,89
107,11,87
108,11,87
109,12,85
110,11,89
111,12,85
112,11,87
113,12,81
114,12,86
115,11,86
116,12,84
117,12,84
118,12,85
119,12,85
120,11,89
121,11,94
122,11,86
123,11,90
124,12,84
125,12,86
126,12,85
127,12,82
128,11,89
129,12,82
130,12,83
131,12,81
132,12,85
133,12,84
134,11,86
135,11,89
136,12,83
137,12,82
138,11,87
139,12,85
140,11,87
141,11,87
142,11,87
143,11,87
144,11,91
145,10,98
146,10,102
147,11,88
148,12,83
149,12,86
150,11,93
151,10,96
152,11,92
153,10,96
154,10,98
155,10,97
156,10,95
157,11,95
158,10,95
159,11,94
160,10,101
161,9,107
162,8,122
163,11,89
164,11,92
165,11,93
166,10,96
167,10,95
168,11,89
169,11,93
170,11,94
171,11,88
172,10,96
173,11,89
174,11,93
175,11,95
176,10,101
177,11,94
178,10,102
179,10,96
180,11,88
181,11,89
182,11,89
183,11,95
184,11,88
185,11,94
186,10,100
187,10,99
188,9,115
189,9,106
190,9,108
191,9,109
192,10,102
193,10,104
194,11,94
195,10,97
196,11,95
197,10,97
198,10,102
199,11,93
200,11,91
201,11,94
202,11,91
203,11,92
204,11,89
205,11,87
206,11,91
207,11,92
208,11,92
209,11,89
210,11,89
211,12,83
212,12,85
213,12,86
214,11,86
215,11,86
216,11,86
217,12,84
218,13,79
219,12,81
220,11,89
221,12,84
222,12,82
223,11,90
224,12,82
225,12,85
226,12,84
227,12,82
228,12,83
229,12,84
230,12,86
231,11,88
232,11,95
233,11,88
234,10,97
235,11,89
236,11,90
237,11,88
238,11,91
239,11,91
240,11,91
241,10,96
242,10,103
243,11,93
244,11,95
245,10,96
246,11,94
247,9,106
248,10,101
249,10,99
250,10,101
251,10,104
252,10,103
253,10,96
254,11,94
255,10,98
256,10,96
257,10,100
258,11,95
259,10,96
260,10,96
261,10,97
262,10,102
263,10,99
264,9,107
265,8,124
266,9,110
267,11,95
268,11,92
269,10,95
270,10,99
271,11,95
272,11,95
273,11,87
274,11,89
275,11,86
276,11,91
277,11,93
278,12,86
279,12,80
280,13,79
281,12,86
282,12,85
283,12,82
284,11,88
285,12,84
286,13,77
287,11,87
288,12,81
289,11,90
290,11,91
291,12,83
292,12,80
293,11,90
294,11,95
295,11,93
296,11,93
297,12,86
298,12,84
299,12,84
300,12,82
301,11,92
302,12,80
303,12,86
304,13,80
305,12,82
306,12,85
307,12,82
308,13,80
309,13,78
310,13,78
311,12,81
312,13,79
313,13,78
314,12,81
315,12,85
316,12,81
317,12,81
318,12,86
319,11,87
320,12,83
321,12,86
322,11,88
323,11,88
324,12,86
325,11,87
326,11,89
327,12,84
328,12,84
329,12,85
330,12,84
331,11,87
332,12,80
333,12,85
334,11,86
335,11,87
336,11,90
337,12,86
338,12,84
339,11,88
340,11,90
341,11,90
342,11,95
343,11,87
344,11,87
345,11,88
346,10,99
347,10,95
348,11,91
349,11,90
350,11,91
351,11,89
352,11,90
353,10,95
354,11,90
355,11,87
356,12,86
357,11,90
358,11,90
359,11,90
360,11,88
361,11,87
362,11,87
363,11,91
364,11,94
365,11,89
366,11,90
367,12,83
368,12,84
369,11,87
370,11,89
371,11,94
372,11,90
373,11,95
374,11,88
375,10,101
376,9,110
377,10,102
378,11,91
379,11,87
380,11,88
381,12,85
382,12,83
383,11,88
384,11,88
385,11,87
386,11,93
387,11,88
388,11,88
389,11,88
390,12,85
391,11,88
392,12,83
393,12,84
394,12,84
395,11,93
396,10,96
397,11,91
398,11,87
399,12,84
400,11,88
401,11,89
402,11,87
403,10,105
404,11,94
405,12,86
406,11,90
407,11,94
408,10,98
409,11,92
410,12,83
411,11,92
412,11,91
